Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_total_bases	tss_up_5kb_tag_count	tss_up_5kb_tags_kb	tss_up_10kb_total_bases	tss_up_10kb_tag_count	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_total_bases	tes_down_5kb_tag_count	tes_down_5kb_tags_kb	tes_down_10kb_total_bases	tes_down_10kb_tag_count	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct
SRR6954530.assembled.read_distribution	5568895	6079028	5494031	36512446	1920452	1920452.0	33231493	108724	108724.0	57274166	3063856	3063856.0	1077358172	262367	262367.0	33710595	6903	6903.0	152682166	15417	15417.0	274415636	27005	27005.0	35511308	92886	92886.0	154728310	105453	105453.0	274153740	111627	111627.0	584997	31.591432051308203	1.7885096104179814	50.40042585755485	4.315936692510711	0.11355433796324019	0.25360962311737995	0.44423220291138654	1.527974538034699	1.7347016661216235	1.8362639553560207	9.623199629940839
SRR6954530.unassembled.read_distribution	20271398	26988383	25550472	36512446	15602798	15602798.0	33231493	582941	582941.0	57274166	8334681	8334681.0	1077358172	734369	734369.0	33710595	22070	22070.0	152682166	49847	49847.0	274415636	72877	72877.0	35511308	166568	166568.0	154728310	201912	201912.0	274153740	222806	222806.0	1437911	57.813015325890404	2.15997008787077	30.88247636029176	2.721055944700355	0.0817759255899103	0.18469798653739278	0.2700309981520568	0.6171840676783045	0.7481441181563193	0.8255626133659063	5.3278886697287495
SRR6954531.assembled.read_distribution	7260599	7872347	6938723	36512446	1172443	1172443.0	33231493	120066	120066.0	57274166	4862573	4862573.0	1077358172	504064	504064.0	33710595	12851	12851.0	152682166	31720	31720.0	274415636	52800	52800.0	35511308	179920	179920.0	154728310	212195	212195.0	274153740	226777	226777.0	933624	14.893182427044946	1.5251614289868065	61.767767604756244	6.402969787790096	0.1632422961030554	0.4029293932292365	0.6707021425757782	2.2854683615953415	2.69544774893688	2.8806784050550616	11.859538203791068
SRR6954531.unassembled.read_distribution	11354847	14889002	13862713	36512446	6805369	6805369.0	33231493	275512	275512.0	57274166	5856108	5856108.0	1077358172	651079	651079.0	33710595	20676	20676.0	152682166	50842	50842.0	274415636	89406	89406.0	35511308	111158	111158.0	154728310	160696	160696.0	274153740	185239	185239.0	1026289	45.70735499934784	1.8504396735254651	39.3317698526738	4.3728854358404945	0.13886760173717488	0.3414735252235173	0.6004834978193971	0.7465779103260245	1.0792932931300565	1.2441330856158122	6.892933455177183
SRR6954532.assembled.read_distribution	225502	246935	217771	36512446	41219	41219.0	33231493	5326	5326.0	57274166	146692	146692.0	1077358172	15741	15741.0	33710595	626	626.0	152682166	1107	1107.0	274415636	1645	1645.0	35511308	5974	5974.0	154728310	6733	6733.0	274153740	7148	7148.0	29164	16.692246947577296	2.156842893878956	59.40510660700185	6.374552007613339	0.2535080081802904	0.4482961103124304	0.6661672099945329	2.4192601291837934	2.726628464980663	2.894688885739162	11.81039544819487
SRR6954532.unassembled.read_distribution	231541	336026	316765	36512446	203183	203183.0	33231493	9662	9662.0	57274166	90291	90291.0	1077358172	9375	9375.0	33710595	407	407.0	152682166	838	838.0	274415636	1248	1248.0	35511308	2073	2073.0	154728310	2604	2604.0	274153740	3006	3006.0	19261	60.46645200073804	2.8753727390142427	26.870242183640553	2.7899626814591727	0.12112157987774755	0.24938546422003058	0.3713998321558451	0.6169165481242523	0.7749400344020998	0.8945736341830691	5.73199692880908
SRR6954533.assembled.read_distribution	22479830	26429258	23916544	36512446	5670038	5670038.0	33231493	578558	578558.0	57274166	14867922	14867922.0	1077358172	1882552	1882552.0	33710595	81704	81704.0	152682166	134661	134661.0	274415636	194659	194659.0	35511308	590166	590166.0	154728310	682317	682317.0	274153740	722815	722815.0	2512714	21.453640507047155	2.189081509590621	56.25554073443908	7.12298468613837	0.30914223925620615	0.5095148717379806	0.7365284337532291	2.2330025307558765	2.581672932323715	2.734904627288439	9.507319501743105
SRR6954533.unassembled.read_distribution	21576628	32273115	30686951	36512446	17524078	17524078.0	33231493	705661	705661.0	57274166	10873930	10873930.0	1077358172	1155964	1155964.0	33710595	39422	39422.0	152682166	82790	82790.0	274415636	144387	144387.0	35511308	190397	190397.0	154728310	253589	253589.0	274153740	282931	282931.0	1586164	54.299307643529296	2.186528942124118	33.69346280952427	3.5818172494350176	0.12215120852139622	0.25652931240135946	0.44739096303533143	0.5899554474366667	0.7857592922158273	0.8766770731613605	4.914815319190602
SRR6954534.assembled.read_distribution	9858475	11834521	10816982	36512446	2768840	2768840.0	33231493	314200	314200.0	57274166	6540500	6540500.0	1077358172	867564	867564.0	33710595	26710	26710.0	152682166	52503	52503.0	274415636	79725	79725.0	35511308	160823	160823.0	154728310	204882	204882.0	274153740	246153	246153.0	1017539	23.396299689695933	2.6549448008922374	55.266284119146015	7.3307909969486715	0.22569565764427643	0.44364279720319905	0.6736647811939326	1.3589312148755324	1.7312234267867705	2.079957439764567	8.598058172358645
SRR6954534.unassembled.read_distribution	26676867	39143102	37201201	36512446	21457532	21457532.0	33231493	888531	888531.0	57274166	12725599	12725599.0	1077358172	1585281	1585281.0	33710595	58101	58101.0	152682166	127138	127138.0	274415636	205085	205085.0	35511308	201844	201844.0	154728310	295932	295932.0	274153740	339173	339173.0	1941901	54.818169495100314	2.269955508380506	32.5104510112663	4.0499626217666655	0.14843228316447685	0.3248030776916965	0.523936503550485	0.5156566283377337	0.7560259276334308	0.8664949446265143	4.961029915309216
SRR6954535.assembled.read_distribution	5875480	7236293	6685503	36512446	1674870	1674870.0	33231493	128899	128899.0	57274166	4200165	4200165.0	1077358172	513579	513579.0	33710595	13672	13672.0	152682166	26208	26208.0	274415636	38761	38761.0	35511308	98869	98869.0	154728310	118416	118416.0	274153740	129229	129229.0	550790	23.145414371695562	1.7812849756083673	58.04304773175989	7.0972665147748994	0.188936517634098	0.3621743895665916	0.5356471884153944	1.3662934875633146	1.636417983627805	1.7858453216308405	7.611493896115042
SRR6954535.unassembled.read_distribution	19803076	30151570	28802571	36512446	17911125	17911125.0	33231493	551282	551282.0	57274166	8899617	8899617.0	1077358172	1075189	1075189.0	33710595	39802	39802.0	152682166	77677	77677.0	274415636	138996	138996.0	35511308	148086	148086.0	154728310	200091	200091.0	274153740	226362	226362.0	1348999	59.40362309491678	1.8283691363335308	29.516263995539866	3.565946980538658	0.13200639303359657	0.2576217424167299	0.4609909202074718	0.4911386040594237	0.6636171847767794	0.7507469760281139	4.474058896435575
SRR6954538.assembled.read_distribution	4915894	5774694	4507905	36512446	706978	706978.0	33231493	9893	9893.0	57274166	3737615	3737615.0	1077358172	35768	35768.0	33710595	938	938.0	152682166	1827	1827.0	274415636	2994	2994.0	35511308	11720	11720.0	154728310	13910	13910.0	274153740	14657	14657.0	1266789	12.242691993722959	0.17131643685362377	64.72403559392065	0.61939212709799	0.016243284925573545	0.03163804004160221	0.05184690305668144	0.20295447689522597	0.2408785643014158	0.25381431466325316	21.936902630684845
SRR6954538.unassembled.read_distribution	10584318	18786605	14141923	36512446	9022021	9022021.0	33231493	134828	134828.0	57274166	4824671	4824671.0	1077358172	114939	114939.0	33710595	3575	3575.0	152682166	12598	12598.0	274415636	19882	19882.0	35511308	10171	10171.0	154728310	18975	18975.0	274153740	25582	25582.0	4644682	48.02369028358237	0.7176815608780831	25.681441644192766	0.6118135767479009	0.019029515976942083	0.06705841742028429	0.10583072353945805	0.05413963832209172	0.10100281556992335	0.13617149027192513	24.723370720787496
SRR6954539.assembled.read_distribution	8120279	10080759	8004865	36512446	1452251	1452251.0	33231493	25647	25647.0	57274166	6395098	6395098.0	1077358172	97192	97192.0	33710595	1550	1550.0	152682166	3247	3247.0	274415636	5209	5209.0	35511308	22708	22708.0	154728310	27785	27785.0	274153740	29468	29468.0	2075894	14.406167234034658	0.25441536693814426	63.43865575994824	0.9641337522303629	0.015375826363868037	0.03220987626030937	0.05167269647057329	0.22526081617465513	0.27562408743230543	0.2923192588970731	20.592635931480956
SRR6954539.unassembled.read_distribution	17749087	31510250	24326618	36512446	15040453	15040453.0	33231493	200061	200061.0	57274166	8789417	8789417.0	1077358172	230334	230334.0	33710595	4388	4388.0	152682166	14343	14343.0	274415636	23727	23727.0	35511308	24226	24226.0	154728310	35161	35161.0	274153740	42626	42626.0	7183632	47.731938020168045	0.6349076887679406	27.89383454590173	0.7309811886608326	0.013925627375219175	0.04551852175085885	0.07529930736823733	0.07688291905015035	0.11158591252052905	0.13527661633912774	22.79776263279409
