Sample	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
SRR6954502.unassembled_2.bx							15.563816494150085
SRR6954502_1		67.23379090984578	36.0	151.0	54.54545454545454	25995326.0	
SRR6954502_2		59.94641664332286	45.0	151.0	36.36363636363637	25995326.0	
SRR6954503.assembled	90.95	73.68258024983163	41.0	107.74947281011916	45.45454545454545	13051749.0	
SRR6954503.assembled.bx							29.7296089321378
SRR6954503.unassembled	46.56						
SRR6954503.unassembled_1		15.976968599050721	35.0	48.51513297093329	45.45454545454545	38558126.0	
SRR6954503.unassembled_2		62.34382284741879	47.0	149.9679808349607	27.27272727272727	38558126.0	
SRR6954503.unassembled_2.bx							19.129395937874126
SRR6954503_1		85.69109524257975	33.0	150.0	54.54545454545454	147270607.0	
SRR6954503_2		78.16525447288097	45.0	150.0	36.36363636363637	147270607.0	
SRR6954504.assembled	92.21	70.53296169336772	42.0	102.38694159946289	45.45454545454545	3857670.0	
SRR6954504.assembled.bx							29.061178324486498
SRR6954504.unassembled	51.51						
SRR6954504.unassembled_1		17.897863502900222	38.0	54.276504380235146	45.45454545454545	7333967.0	
SRR6954504.unassembled_2		60.09269932221173	48.0	149.9728500278226	27.27272727272727	7333967.0	
SRR6954504.unassembled_2.bx							16.782701081387494
SRR6954504_1		67.16130246625477	34.0	150.0	54.54545454545454	49110512.0	
SRR6954504_2		64.59592155919347	45.0	150.0	27.27272727272727	49110512.0	
SRR6954505.assembled	92.1	70.94618923251467	42.0	106.172391469854	45.45454545454545	4896704.0	
SRR6954505.assembled.bx							27.707930262978724
SRR6954505.unassembled	51.19						
SRR6954505.unassembled_1		16.935191126800873	38.0	54.250656893313916	45.45454545454545	9444456.0	
SRR6954505.unassembled_2		61.07869523575085	48.0	149.97174077575247	27.27272727272727	9444456.0	
SRR6954505.unassembled_2.bx							16.79264946733464
SRR6954505_1		69.36330872792487	34.0	150.0	45.45454545454545	58247059.0	
SRR6954505_2		65.47017300397695	45.0	150.0	27.27272727272727	58247059.0	
SRR6954506.assembled	89.8	77.92901430662008	41.0	97.59425302754133	36.36363636363637	19057791.0	
SRR6954506.assembled.bx							31.493360764520695
SRR6954506.unassembled	52.73						
SRR6954506.unassembled_1		27.597514200960873	36.0	50.575805382353515	45.45454545454545	15758571.0	
SRR6954506.unassembled_2		66.0119262056723	48.0	149.96319279203678	27.27272727272727	15758571.0	
SRR6954506.unassembled_2.bx							18.302066060063478
SRR6954506_1		83.02684134111642	32.0	150.0	45.45454545454545	82436033.0	
SRR6954506_2		77.59882675871951	42.0	150.0	36.36363636363637	82436033.0	
SRR6954507.assembled	81.71	75.93421774261152	42.0	98.35607075741126	45.45454545454545	27570596.0	
SRR6954507.assembled.bx							36.07284792857588
SRR6954507.unassembled	44.14						
SRR6954507.unassembled_1		25.195810208431453	39.0	51.51532092393708	54.54545454545454	60767125.0	
SRR6954507.unassembled_2		64.70621887073779	49.0	150.96557612360303	27.27272727272727	60767125.0	
SRR6954507.unassembled_2.bx							18.161578474919533
SRR6954507_1		83.57017232022443	34.0	151.0	45.45454545454545	166251631.0	
SRR6954507_2		75.56978968068661	45.0	151.0	36.36363636363637	166251631.0	
SRR6954508.assembled	90.73	67.58833680279542	42.0	114.3758929967029	36.36363636363637	6282498.0	
SRR6954508.assembled.bx							29.435325398736587
SRR6954508.unassembled	51.49						
SRR6954508.unassembled_1		17.625398255938194	38.0	50.53744417406109	45.45454545454545	17404096.0	
SRR6954508.unassembled_2		69.17420645488549	48.0	149.96597818122814	27.27272727272727	17404096.0	
SRR6954508.unassembled_2.bx							18.308101810474597
SRR6954508_1		70.33759800186566	33.0	150.0	45.45454545454545	84448014.0	
SRR6954508_2		78.5732460567581	45.0	150.0	27.27272727272727	84448014.0	
SRR6954509.assembled	92.34	78.7109841492794	42.0	103.81648185818845	36.36363636363637	27686320.0	
SRR6954509.assembled.bx							31.92222108838972
SRR6954509.unassembled	51.29						
SRR6954509.unassembled_1		26.77136049621987	38.0	53.350083879034706	45.45454545454545	38689048.0	
SRR6954509.unassembled_2		71.88425148310047	50.0	150.96315590396537	27.27272727272727	38689048.0	
SRR6954509.unassembled_2.bx							17.420303755834315
SRR6954509_1		85.59275365625203	33.0	151.0	54.54545454545454	176143140.0	
SRR6954509_2		78.53479176453013	45.0	151.0	27.27272727272727	176143140.0	
SRR6954510.assembled	36.68	72.01676431767382	40.0	62.37057950377107	54.54545454545454	19344378.0	
SRR6954510.assembled.bx							55.05475397725629
SRR6954510.unassembled	36.38						
SRR6954510.unassembled_1		54.47803702608004	37.0	25.2881199474049	54.54545454545454	9000078.0	
SRR6954510.unassembled_2		30.94498049329887	46.0	149.67191151010024	18.181818181818183	9000078.0	
SRR6954510.unassembled_2.bx							28.782367705066658
SRR6954510_1		81.3653595188772	31.0	150.0	45.45454545454545	105396531.0	
SRR6954510_2		71.72120819398046	38.0	150.0	54.54545454545454	105396531.0	
SRR6954511.assembled	92.45	62.802104122193754	41.0	100.39097876017374	36.36363636363637	1661878.0	
SRR6954511.assembled.bx							32.45690182259979
SRR6954511.unassembled	47.73						
SRR6954511.unassembled_1		10.636730728233275	37.0	49.48193546752981	54.54545454545454	5290422.0	
SRR6954511.unassembled_2		53.88803344607733	50.0	149.96888490180933	36.36363636363637	5290422.0	
SRR6954511.unassembled_2.bx							18.736303333750634
SRR6954511_1		71.83744698968965	33.0	150.0	54.54545454545454	45116985.0	
SRR6954511_2		73.72346182420736	47.0	150.0	36.36363636363637	45116985.0	
SRR6954530.assembled	93.69	70.72669479306037	39.0	109.5301839681221	36.36363636363637	5944182.0	
SRR6954530.assembled.bx							29.77893029222184
SRR6954530.unassembled	51.47						
SRR6954530.unassembled_1		14.690381617744336	35.0	50.37055016698862	45.45454545454545	19693857.0	
SRR6954530.unassembled_2		66.87170942530668	45.0	149.9681094465142	36.36363636363637	19693857.0	
SRR6954530.unassembled_2.bx							18.37182485725258
SRR6954530_1		76.6413773706596	32.0	150.0	45.45454545454545	96270883.0	
SRR6954530_2		82.44417408367016	43.0	150.0	36.36363636363637	96270883.0	
SRR6954531.assembled	82.03	63.08956346912646	39.0	95.79118292507266	27.27272727272727	8851575.0	
SRR6954531.assembled.bx							35.76789639697658
SRR6954531.unassembled	46.2						
SRR6954531.unassembled_1		18.031190750525795	32.0	45.91085081311928	45.45454545454545	12288480.0	
SRR6954531.unassembled_2		42.55346234582541	48.0	149.94302232660183	18.181818181818183	12288480.0	
SRR6954531.unassembled_2.bx							20.20649693810278
SRR6954531_1		81.49506563840572	30.0	150.0	54.54545454545454	88735607.0	
SRR6954531_2		74.74508262827032	41.0	150.0	36.36363636363637	88735607.0	
SRR6954532.assembled	78.17	48.75749381276761	41.0	87.5958547247056	27.27272727272727	288473.0	
SRR6954532.assembled.bx							34.63416836276857
SRR6954532.unassembled	45.88						
SRR6954532.unassembled_1		7.573250755141629	35.0	51.150491996877214	45.45454545454545	252339.0	
SRR6954532.unassembled_2		32.183086512770245	49.0	150.95710135967886	18.181818181818183	252339.0	
SRR6954532.unassembled_2.bx							18.305019219384523
SRR6954532_1		61.97027889675345	35.0	151.0	54.54545454545454	22450365.0	
SRR6954532_2		56.049288189554424	44.0	151.0	54.54545454545454	22450365.0	
SRR6954533.assembled	89.8	75.11332155451613	42.0	98.65773624193429	36.36363636363637	25032516.0	
SRR6954533.assembled.bx							31.45780206816581
SRR6954533.unassembled	48.46						
SRR6954533.unassembled_1		22.947615092240042	38.0	48.888535520357344	45.45454545454545	22263191.0	
SRR6954533.unassembled_2		64.10859999975638	49.0	149.9653904959087	36.36363636363637	22263191.0	
SRR6954533.unassembled_2.bx							18.984997620324272
SRR6954533_1		84.87487621117843	35.0	150.0	54.54545454545454	115712792.0	
SRR6954533_2		72.32623639596935	44.0	150.0	36.36363636363637	115712792.0	
SRR6954534.assembled	86.9	67.23132933280783	43.0	116.39811521634579	36.36363636363637	11344432.0	
SRR6954534.assembled.bx							29.613929230995584
SRR6954534.unassembled	50.99						
SRR6954534.unassembled_1		23.192681291481577	40.0	47.51526016352221	54.54545454545454	26158894.0	
SRR6954534.unassembled_2		66.34913335914644	48.0	149.9636860029327	36.36363636363637	26158894.0	
SRR6954534.unassembled_2.bx							19.543295979329418
SRR6954534_1		82.31097446738659	33.0	150.0	54.54545454545454	101930580.0	
SRR6954534_2		75.45987378506624	45.0	150.0	36.36363636363637	101930580.0	
SRR6954535.assembled	92.45	67.1830939711346	45.0	120.02062457337992	45.45454545454545	6355186.0	
SRR6954535.assembled.bx							25.624715246800946
SRR6954535.unassembled	50.75						
SRR6954535.unassembled_1		15.799565621905813	44.0	54.191668469052104	45.45454545454545	19511180.0	
SRR6954535.unassembled_2		64.24393296770957	50.0	149.96711900561627	36.36363636363637	19511180.0	
SRR6954535.unassembled_2.bx							16.817419032887717
SRR6954535_1		73.31073072949717	36.0	150.0	45.45454545454545	89743937.0	
SRR6954535_2		75.86330906631707	47.0	150.0	36.36363636363637	89743937.0	
SRR6954538.assembled	95.44	88.43997661536943	38.0	108.01340226020444	45.45454545454545	5150773.0	
SRR6954538.assembled.bx							26.304030344889195
SRR6954538.unassembled	52.28						
SRR6954538.unassembled_1		23.3104837607452	30.0	53.91938219776227	54.54545454545454	10122851.0	
SRR6954538.unassembled_2		83.25694548310406	44.0	149.9753068577222	45.45454545454545	10122851.0	
SRR6954538.unassembled_2.bx							16.92702535032496
SRR6954538_1		69.00876472889016	31.0	150.0	45.45454545454545	69825654.0	
SRR6954538_2		86.34807707416002	41.0	150.0	45.45454545454545	69825654.0	
SRR6954539.assembled	91.14	88.28147095184991	37.0	110.13789750606678	36.36363636363637	8909581.0	
SRR6954539.assembled.bx							25.380739685733488
SRR6954539.unassembled	53.17						
SRR6954539.unassembled_1		34.715705291699166	30.0	58.23947484676161	54.54545454545454	16691966.0	
SRR6954539.unassembled_2		79.20250497894753	44.0	150.97300138282094	45.45454545454545	16691966.0	
SRR6954539.unassembled_2.bx							15.439610544888996
SRR6954539_1		73.36930081260908	33.0	151.0	54.54545454545454	70547004.0	
SRR6954539_2		80.5438097843489	42.0	151.0	36.36363636363637	70547004.0	
SRR6954540.assembled	80.2	69.41572560562538	37.0	71.46986957202358	18.181818181818183	28848412.0	
SRR6954540.assembled.bx							52.68401035226745
SRR6954540.unassembled	43.44						
SRR6954540.unassembled_1		49.16157783427886	31.0	23.04868662299939	45.45454545454545	22270224.0	
SRR6954540.unassembled_2		40.92773473556067	48.0	149.93879980731222	18.181818181818183	22270224.0	
SRR6954540.unassembled_2.bx							29.561023279198523
SRR6954540_1		77.90717662286659	26.0	150.0	54.54545454545454	126761745.0	
SRR6954540_2		75.35913766316463	37.0	150.0	36.36363636363637	126761745.0	
SRR6954543.assembled	91.7	70.09185728979361	41.0	101.71001689767316	27.27272727272727	5212552.0	
SRR6954543.assembled.bx							29.97420437203797
SRR6954543.unassembled	48.59						
SRR6954543.unassembled_1		22.657311866692098	33.0	50.14512489822981	45.45454545454545	7788381.0	
SRR6954543.unassembled_2		49.07983602247129	49.0	149.96602169308358	18.181818181818183	7788381.0	
SRR6954543.unassembled_2.bx							18.472667094188022
SRR6954543_1		75.10311060428744	33.0	150.0	54.54545454545454	56160854.0	
SRR6954543_2		68.85423685860876	45.0	150.0	27.27272727272727	56160854.0	
SRR6954544.assembled	89.99	72.38221159703745	41.0	99.17203962425543	18.181818181818183	16723595.0	
SRR6954544.assembled.bx							31.880737896568068
SRR6954544.unassembled	47.38						
SRR6954544.unassembled_1		19.220874382523817	32.0	47.55220653141722	45.45454545454545	21418843.0	
SRR6954544.unassembled_2		54.236713896473546	49.0	149.95944061964505	27.27272727272727	21418843.0	
SRR6954544.unassembled_2.bx							19.5335247748751
SRR6954544_1		85.93243260442887	32.0	150.0	54.54545454545454	94369877.0	
SRR6954544_2		70.99774130134492	44.0	150.0	36.36363636363637	94369877.0	
SRR6954545.assembled	86.32	59.43559357518589	42.0	97.23630515488534	27.27272727272727	1139133.0	
SRR6954545.assembled.bx							31.09637287500177
SRR6954545.unassembled	50.14						
SRR6954545.unassembled_1		15.114503076050994	35.0	52.41644138797857	45.45454545454545	1756713.0	
SRR6954545.unassembled_2		49.904189101352635	49.0	149.9662836217413	18.181818181818183	1756713.0	
SRR6954545.unassembled_2.bx							17.546348359969645
SRR6954545_1		63.86425573805048	35.0	150.0	54.54545454545454	25174267.0	
SRR6954545_2		60.187787062002286	45.0	150.0	45.45454545454545	25174267.0	
SRR6954546.assembled	90.47	63.74446003464145	42.0	100.57950953874034	27.27272727272727	2229330.0	
SRR6954546.assembled.bx							29.625770143345274
SRR6954546.unassembled	50.58						
SRR6954546.unassembled_1		15.673079337373437	36.0	53.84489516002227	45.45454545454545	3764976.0	
SRR6954546.unassembled_2		56.420236026429436	50.0	149.97252465885572	27.27272727272727	3764976.0	
SRR6954546.unassembled_2.bx							16.959840348874806
SRR6954546_1		66.76876716530178	35.0	150.0	54.54545454545454	28368631.0	
SRR6954546_2		63.14538075434818	46.0	150.0	36.36363636363637	28368631.0	
SRR6954548.assembled	91.64	71.42747584497029	43.0	104.88387867250313	45.45454545454545	3275729.0	
SRR6954548.assembled.bx							27.116253933605748
SRR6954548.unassembled	44.13						
SRR6954548.unassembled_1		14.260459245437815	37.0	56.48414791374645	54.54545454545454	5905658.0	
SRR6954548.unassembled_2		42.2068239281747	53.0	149.9730695546542	27.27272727272727	5905658.0	
SRR6954548.unassembled_2.bx							15.884393922377244
SRR6954548_1		64.63574488740593	34.0	150.0	54.54545454545454	46296902.0	
SRR6954548_2		67.26384598511078	48.0	150.0	36.36363636363637	46296902.0	
SRR6954560.assembled	91.03	74.45672662857864	40.0	105.3796304844292	27.27272727272727	31467199.0	
SRR6954560.assembled.bx							29.707193158922447
SRR6954560.unassembled	45.87						
SRR6954560.unassembled_1		21.814639603482803	33.0	48.95239945305751	45.45454545454545	37980593.0	
SRR6954560.unassembled_2		51.65466915990641	48.0	149.95997690188776	27.27272727272727	37980593.0	
SRR6954560.unassembled_2.bx							18.95974973327322
SRR6954560_1		87.9326073764335	32.0	150.0	54.54545454545454	142937940.0	
SRR6954560_2		77.4936135667955	43.0	150.0	36.36363636363637	142937940.0	
SRR6954561.assembled	91.53	53.45964810943966	40.0	116.3043907147253	18.181818181818183	1129315.0	
SRR6954561.assembled.bx							26.71346605110443
SRR6954561.unassembled	50.47						
SRR6954561.unassembled_1		10.771726271380558	34.0	52.93465827960848	54.54545454545454	3561201.0	
SRR6954561.unassembled_2		57.115117056509526	48.0	149.96550798452546	27.27272727272727	3561201.0	
SRR6954561.unassembled_2.bx							17.329478905490976
SRR6954561_1		68.66485188132565	32.0	150.0	45.45454545454545	36042395.0	
SRR6954561_2		76.34797928093252	46.0	150.0	27.27272727272727	36042395.0	
SRR6954562.assembled	90.53	73.8511295771292	42.0	99.69951798309216	36.36363636363637	15517298.0	
SRR6954562.assembled.bx							31.672984839025347
SRR6954562.unassembled	49.26						
SRR6954562.unassembled_1		17.16008648109711	38.0	50.78240638840881	45.45454545454545	25251734.0	
SRR6954562.unassembled_2		68.39161801625606	51.0	149.9682209546481	36.36363636363637	25251734.0	
SRR6954562.unassembled_2.bx							18.206420451452743
SRR6954562_1		82.12264601512874	34.0	150.0	54.54545454545454	166549141.0	
SRR6954562_2		77.84726580063776	46.0	150.0	27.27272727272727	166549141.0	
SRR6954563.assembled	86.79	66.10687876191676	42.0	106.93560149756982	27.27272727272727	5600006.0	
SRR6954563.assembled.bx							29.048785121708438
SRR6954563.unassembled	46.74						
SRR6954563.unassembled_1		14.439530600841522	33.0	50.06984887287941	45.45454545454545	13201072.0	
SRR6954563.unassembled_2		60.22629428454663	49.0	149.9681246341206	27.27272727272727	13201072.0	
SRR6954563.unassembled_2.bx							18.496490065778158
SRR6954563_1		84.78758967369816	33.0	150.0	45.45454545454545	47150676.0	
SRR6954563_2		66.4579713272514	45.0	150.0	36.36363636363637	47150676.0	
SRR6954564.assembled	91.02	68.65337548903508	41.0	103.6038479282136	45.45454545454545	3847525.0	
SRR6954564.assembled.bx							30.941891720735633
SRR6954564.unassembled	48.21						
SRR6954564.unassembled_1		13.187080675911815	38.0	47.95586228428242	45.45454545454545	11620402.0	
SRR6954564.unassembled_2		61.38070661616386	47.0	149.96881218050805	27.27272727272727	11620402.0	
SRR6954564.unassembled_2.bx							19.354282527648273
SRR6954564_1		76.6502218250576	32.0	150.0	45.45454545454545	51389209.0	
SRR6954564_2		78.77293452584209	45.0	150.0	36.36363636363637	51389209.0	
SRR6954565.assembled	89.66	60.196356378781985	42.0	116.69754535628363	36.36363636363637	2925394.0	
SRR6954565.assembled.bx							28.49189807861201
SRR6954565.unassembled	50.76						
SRR6954565.unassembled_1		15.344724092236959	35.0	51.16860377792	45.45454545454545	12883015.0	
SRR6954565.unassembled_2		62.455853070543455	49.0	149.96807595116516	27.27272727272727	12883015.0	
SRR6954565.unassembled_2.bx							18.04963915790929
SRR6954565_1		76.0003697786747	32.0	150.0	54.54545454545454	63471909.0	
SRR6954565_2		70.91835175771003	47.0	150.0	36.36363636363637	63471909.0	
SRR6954566.assembled	87.9	45.94551088213249	42.0	95.38861292634448	9.090909090909092	283251.0	
SRR6954566.assembled.bx							31.735080247312958
SRR6954566.unassembled	48.45						
SRR6954566.unassembled_1		10.885992922696602	36.0	52.4015281379283	54.54545454545454	252595.0	
SRR6954566.unassembled_2		34.809950760305426	49.0	150.9435578693165	18.181818181818183	252595.0	
SRR6954566.unassembled_2.bx							17.812009171309086
SRR6954566_1		53.52358804284491	33.0	151.0	54.54545454545454	25773332.0	
SRR6954566_2		57.97118419274662	43.0	151.0	36.36363636363637	25773332.0	
SRR6954567.assembled	86.87	51.22385048220393	42.0	93.87755547044168	36.36363636363637	527398.0	
SRR6954567.assembled.bx							32.462374124718515
SRR6954567.unassembled	48.45						
SRR6954567.unassembled_1		11.323170335051174	36.0	52.90618958440559	54.54545454545454	462422.0	
SRR6954567.unassembled_2		38.61198772592817	49.0	150.95167617457648	18.181818181818183	462422.0	
SRR6954567.unassembled_2.bx							17.605344022657555
SRR6954567_1		54.019117694787475	34.0	151.0	54.54545454545454	25874031.0	
SRR6954567_2		56.16492959523446	43.0	151.0	36.36363636363637	25874031.0	
SRR6954568.assembled	80.2	62.38752086902482	43.0	96.98525061527411	36.36363636363637	1279511.0	
SRR6954568.assembled.bx							30.915050129735818
SRR6954568.unassembled	50.08						
SRR6954568.unassembled_1		11.490448040779597	37.0	59.50678159792718	45.45454545454545	2111523.0	
SRR6954568.unassembled_2		60.663365177994386	50.0	150.96651942697287	27.27272727272727	2111523.0	
SRR6954568.unassembled_2.bx							14.927970142281467
SRR6954568_1		61.50717014439769	37.0	151.0	54.54545454545454	33919184.0	
SRR6954568_2		57.02086139968411	46.0	151.0	45.45454545454545	33919184.0	
SRR6954572.assembled	91.64	79.4920658918336	43.0	109.427590456854	36.36363636363637	15115770.0	
SRR6954572.assembled.bx							27.730574900772602
SRR6954572.unassembled	52.86						
SRR6954572.unassembled_1		26.012756217771397	38.0	55.05056172051328	54.54545454545454	33821535.0	
SRR6954572.unassembled_2		76.88113027667728	49.0	149.97396055501324	27.27272727272727	33821535.0	
SRR6954572.unassembled_2.bx							16.466506099343945
SRR6954572_1		86.40647328066889	34.0	150.0	54.54545454545454	148398683.0	
SRR6954572_2		80.53760833987691	45.0	150.0	27.27272727272727	148398683.0	
SRR6954573.assembled	88.02	71.92268427265915	42.0	93.60253329046664	36.36363636363637	6385687.0	
SRR6954573.assembled.bx							35.694742059893755
SRR6954573.unassembled	51.78						
SRR6954573.unassembled_1		26.929489068199132	39.0	54.726793904236544	45.45454545454545	6323080.0	
SRR6954573.unassembled_2		62.96650389674246	49.0	150.9731422028505	27.27272727272727	6323080.0	
SRR6954573.unassembled_2.bx							16.865120628579046
SRR6954573_1		69.30558004005691	33.0	151.0	54.54545454545454	51588486.0	
SRR6954573_2		65.34120380480294	43.0	151.0	36.36363636363637	51588486.0	
SRR6954574.assembled	90.32	72.56950075959676	42.0	98.74330059833277	45.45454545454545	5079782.0	
SRR6954574.assembled.bx							32.032624942966024
SRR6954574.unassembled	51.61						
SRR6954574.unassembled_1		24.518798339767486	39.0	55.381824386082506	45.45454545454545	5333575.0	
SRR6954574.unassembled_2		62.05565640410908	49.0	150.97327964826593	27.27272727272727	5333575.0	
SRR6954574.unassembled_2.bx							16.599039729046826
SRR6954574_1		68.59072072333655	34.0	151.0	54.54545454545454	42936547.0	
SRR6954574_2		65.86196348147125	43.0	151.0	36.36363636363637	42936547.0	
SRR6954575.assembled	89.48	66.61889962828315	42.0	112.76090321239043	27.27272727272727	12666611.0	
SRR6954575.assembled.bx							28.54032675232564
SRR6954575.unassembled	47.81						
SRR6954575.unassembled_1		14.60891732878234	33.0	50.23806609217908	45.45454545454545	43871212.0	
SRR6954575.unassembled_2		59.130516262403006	49.0	149.9677287693807	27.27272727272727	43871212.0	
SRR6954575.unassembled_2.bx							18.428368535268802
SRR6954575_1		84.92704814753768	32.0	150.0	45.45454545454545	160603742.0	
SRR6954575_2		77.20548616960124	46.0	150.0	36.36363636363637	160603742.0	
SRR6954576.assembled	91.62	73.19787394473603	43.0	115.80722158368026	45.45454545454545	14320820.0	
SRR6954576.assembled.bx							27.244779482827703
SRR6954576.unassembled	48.58						
SRR6954576.unassembled_1		16.74504878685515	36.0	55.152922696769394	54.54545454545454	51429403.0	
SRR6954576.unassembled_2		62.936180255080885	49.0	149.96294660468837	27.27272727272727	51429403.0	
SRR6954576.unassembled_2.bx							16.42715900046741
SRR6954576_1		85.58926469571243	34.0	150.0	45.45454545454545	150550340.0	
SRR6954576_2		79.63490914074451	47.0	150.0	27.27272727272727	150550340.0	
SRR6954577.assembled	92.88	71.28569358705296	42.0	107.44548042037589	27.27272727272727	19003659.0	
SRR6954577.assembled.bx							27.589997406484507
SRR6954577.unassembled	50.13						
SRR6954577.unassembled_1		16.538326017184886	37.0	53.73188847788565	45.45454545454545	49771438.0	
SRR6954577.unassembled_2		68.89275228823242	50.0	149.97084191137898	27.27272727272727	49771438.0	
SRR6954577.unassembled_2.bx							17.00241220806678
SRR6954577_1		87.04053658934527	35.0	150.0	54.54545454545454	180674565.0	
SRR6954577_2		78.92492436587096	47.0	150.0	36.36363636363637	180674565.0	
SRR6954578.assembled	89.38	58.70254832239842	43.0	122.30657223638674	27.27272727272727	10729468.0	
SRR6954578.assembled.bx							27.907364793329638
SRR6954578.unassembled	49.8						
SRR6954578.unassembled_1		17.96026398399701	35.0	47.46415894765233	45.45454545454545	56901803.0	
SRR6954578.unassembled_2		58.55885808514818	50.0	149.979008380455	36.36363636363637	56901803.0	
SRR6954578.unassembled_2.bx							19.55339978145862
SRR6954578_1		83.71867665555494	32.0	150.0	45.45454545454545	92063458.0	
SRR6954578_2		69.08431847940943	48.0	150.0	27.27272727272727	92063458.0	
SRR6954579.assembled	88.24	65.78593314007452	40.0	110.71042492478603	27.27272727272727	12950386.0	
SRR6954579.assembled.bx							31.674428862648252
SRR6954579.unassembled	47.25						
SRR6954579.unassembled_1		24.31188385141823	36.0	46.79861881688729	45.45454545454545	29146606.0	
SRR6954579.unassembled_2		54.75632095898325	47.0	150.93213765609622	27.27272727272727	29146606.0	
SRR6954579.unassembled_2.bx							20.085966284722243
SRR6954579_1		84.48119645183132	31.0	151.0	54.54545454545454	180237541.0	
SRR6954579_2		76.29458614359024	43.0	151.0	27.27272727272727	180237541.0	
SRR6954580.assembled		57.95162503192587	41.0	118.68072066683246	18.181818181818183	2420758.0	
SRR6954580.assembled.bx							25.406223643343417
SRR6954580.unassembled_1		11.965653139356547	35.0	52.26853508932775	45.45454545454545	6887949.0	
SRR6954580.unassembled_2		59.07439715783068	48.0	149.9672313195118	27.27272727272727	6887949.0	
SRR6954580.unassembled_2.bx							17.600598419734748
SRR6954580_1		81.45197965687095	34.0	150.0	45.45454545454545	29225663.0	
SRR6954580_2		69.55119769736945	45.0	150.0	27.27272727272727	29225663.0	
SRR6954582.assembled	92.36	71.89216391517554	40.0	110.96898380324456	18.181818181818183	29479114.0	
SRR6954582.assembled.bx							26.982003632300998
SRR6954582.unassembled	46.88						
SRR6954582.unassembled_1		20.041222130028586	33.0	52.19524811455736	45.45454545454545	49264824.0	
SRR6954582.unassembled_2		48.842946688500774	48.0	149.96202186777325	18.181818181818183	49264824.0	
SRR6954582.unassembled_2.bx							17.636619042055507
